"row_id","symbol","baseline_mean","baseline_between_subject_sd"
"gene7503","XIST",2.056,6.534
"gene3119","HLA-DQB1",4.115,3.87
"gene5616","PRKY",2.728,3.355
"gene266727","MDGA1",2.623,2.522
"gene3117","HLA-DQA1",4,2.368
"gene3127","HLA-DRB5",4.804,2.305
"gene9172","MYOM2",2.423,2.28
"gene1668","DEFA3",3.663,2.233
"gene28959","TMEM176B",4.375,1.902
"gene100287029","DDX11L10",2.387,1.874
"gene220594","USP32P2",2.342,1.852
"gene5909","RAP1GAP",2.041,1.834
"gene55365","TMEM176A",3.373,1.783
"gene50509","COL5A3",3.02,1.78
"gene54055","CYP4F29P",2.537,1.762
"gene7280","TUBB2A",3.36,1.743
"gene100049587","SIGLEC14",5.123,1.739
"gene654433","PAX8-AS1",3.313,1.576
"gene28517","TRDV2",3.279,1.574
"gene1088","CEACAM8",2.367,1.556
"gene6285","S100B",2.373,1.556
"gene6286","S100P",3.364,1.547
"gene1299","COL9A3",2.685,1.492
"gene2947","GSTM3",2.096,1.367
"gene4057","LTF",5.178,1.353
"gene388588","SMIM1",2.733,1.343
"gene3494","IGHA2",3.498,1.299
"gene6231","RPS26",7.363,1.294
"gene139189","DGKK",2.558,1.289
"gene246","ALOX15",6.857,1.278
"gene4897","NRCAM",2.669,1.262
"gene140807","KRT72",3.9,1.247
"gene348110","ARPIN",3.727,1.226
"gene319101","KRT73",3.806,1.221
"gene91543","RSAD2",3.173,1.206
"gene257101","ZNF683",4.019,1.201
"gene102465537","MIR6891",3.576,1.188
"gene343171","OR2W3",5.186,1.177
"gene2352","FOLR3",2.542,1.165
"gene3137","HLA-J",3.358,1.155
"gene3848","KRT1",5.045,1.154
"gene3107","HLA-C",8.85,1.153
"gene3105","HLA-A",9.382,1.136
"gene401233","HTATSF1P2",2.969,1.131
"gene653781","POTEJ",2.884,1.12
"gene57535","ELAPOR1",5.399,1.111
"gene10964","IFI44L",3.071,1.104
"gene83715","ESPN",4.466,1.095
"gene57282","SLC4A10",2.73,1.095
"gene64167","ERAP2",6.489,1.093
"gene10410","IFITM3",6.813,1.084
"gene3045","HBD",2.407,1.084
"gene27087","B3GAT1",4.547,1.083
"gene28394","IGHV4-39",2.331,1.08
"gene3434","IFIT1",3.716,1.077
"gene212","ALAS2",9.162,1.074
"gene759","CA1",4.864,1.069
"gene101928638","LINC02692",2.614,1.068
"gene57124","CD248",2.742,1.063
"gene28559","TRBV28",2.588,1.059
"gene100820829","MYZAP",2.904,1.059
"gene1066","CES1",3.989,1.059
"gene441733","PRKXP1",5.174,1.058
"gene10215","OLIG2",4.521,1.054
"gene3123","HLA-DRB1",6.715,1.051
"gene4353","MPO",3.447,1.033
"gene260429","PRSS33",6.126,1.016
"gene5197","PF4V1",2.404,1.015
"gene27065","NSG1",3.926,1.013
"gene3501","IGHG2",4.18,1.013
"gene3957","LGALS2",4.501,1.01
"gene8991","SELENBP1",6.141,1.007
"gene3135","HLA-G",2.849,1
"gene3934","LCN2",3.839,0.996
"gene3493","IGHA1",6.213,0.992
"gene28796","IGLV3-21",2.474,0.991
"gene10439","OLFM1",2.02,0.984
"gene671","BPI",3.293,0.98
"gene54674","LRRN3",4.014,0.979
"gene166824","RASSF6",2.854,0.975
"gene6614","SIGLEC1",3.192,0.975
"gene9415","FADS2",5.033,0.973
"gene160364","CLEC12A",5.735,0.97
"gene3500","IGHG1",4.213,0.969
"gene101929796","NOTCH2NLR",2.187,0.968
"gene102724159","LOC102724159",3.094,0.955
"gene55655","NLRP2",2.263,0.954
"gene6521","SLC4A1",9.229,0.95
"gene8685","MARCO",3.48,0.948
"gene728233","PI4KAP1",3.679,0.944
"gene147700","KLC3",2.454,0.941
"gene647121","EMBP1",2.561,0.938
"gene51339","DACT1",2.032,0.937
"gene22895","RPH3A",3.088,0.935
"gene3822","KLRC2",2.32,0.935
"gene100130520","CD300H",3.481,0.931
"gene2999","GZMH",6.929,0.931
"gene202134","FAM153B",2.321,0.925
"gene3728","JUP",5.209,0.925
"gene2038","EPB42",6.019,0.923
"gene27181","SIGLEC8",4.591,0.918
"gene5266","PI3",4.922,0.917
"gene654346","LGALS9C",2.208,0.914
"gene10398","MYL9",4.865,0.914
"gene3040","HBA2",8.179,0.913
"gene100996286","LINC02273",3.731,0.913
"gene6023","RMRP",4.216,0.912
"gene10900","RUNDC3A",5.404,0.91
"gene11135","CDC42EP1",2.504,0.91
"gene388524","RPSA2",4.991,0.905
"gene149345","SHISA4",2.993,0.905
"gene102724023","LOC102724023",3.319,0.904
"gene64105","CENPK",2.478,0.901
"gene3502","IGHG3",2.866,0.897
"gene57156","TMEM63C",2.226,0.89
"gene3039","HBA1",8.047,0.885
"gene3042","HBM",5.219,0.876
"gene83416","FCRL5",3.608,0.873
"gene5866","RAB3IL1",2.097,0.873
"gene143570","XRRA1",3.012,0.871
"gene166012","CHST13",2.943,0.867
"gene51327","AHSP",3.767,0.866
"gene6983","TRGV9",3.236,0.863
"gene85442","KNDC1",2.013,0.86
"gene129607","CMPK2",2.847,0.859
"gene3539","IGLC3",4.597,0.859
"gene4599","MX1",5.879,0.856
"gene1663","DDX11",4.902,0.856
"gene253039","CUTALP",4.672,0.856
"gene220001","VWCE",4.045,0.853
"gene55437","STRADB",7.239,0.852
"gene125050","RN7SK",7.393,0.848
"gene6710","SPTB",6.136,0.845
"gene6590","SLPI",2.619,0.844
"gene10661","KLF1",3.539,0.842
"gene6535","SLC6A8",6.069,0.841
"gene3823","KLRC3",3.016,0.84
"gene710","SERPING1",2.151,0.84
"gene2537","IFI6",4.917,0.84
"gene820","CAMP",2.285,0.839
"gene5159","PDGFRB",3.627,0.839
"gene100129528","MUC8",2.261,0.838
"gene26499","PLEK2",2.815,0.835
"gene439921","MXRA7",3.846,0.835
"gene54796","BNC2",2.29,0.834
"gene9241","NOG",3.639,0.833
"gene3821","KLRC1",2.881,0.833
"gene285596","FAM153A",2.669,0.832
"gene55007","FAM118A",5.449,0.83
"gene3043","HBB",7.999,0.83
"gene284415","VSTM1",3.13,0.827
"gene6375","XCL1",2.436,0.827
"gene7111","TMOD1",4.967,0.826
"gene1675","CFD",5.853,0.826
"gene9636","ISG15",4.013,0.824
"gene723778","MIR650",2.814,0.822
"gene56967","C14orf132",2.411,0.82
"gene25893","TRIM58",8.558,0.819
"gene102723750","CLK3-AS1",4.03,0.819
"gene100507195","LINC02384",2.054,0.816
"gene23762","OSBP2",6.07,0.812
"gene6622","SNCA",8.064,0.809
"gene3049","HBQ1",3.46,0.807
"gene28631","TRBJ1-5",2.157,0.806
"gene23127","COLGALT2",2.171,0.805
"gene28937","IGKV1-17",2.15,0.803
"gene170482","CLEC4C",2.274,0.8
"gene10158","PDZK1IP1",5.744,0.798
"gene134549","SHROOM1",2.302,0.797
"gene51191","HERC5",3.754,0.797
"gene439996","IFIT1B",3.828,0.792
"gene28817","IGLV2-8",3.44,0.791
"gene23428","SLC7A8",2.221,0.791
"gene10561","IFI44",3.804,0.789
"gene3512","JCHAIN",5.264,0.788
"gene5730","PTGDS",5.249,0.788
"gene9717","SEC14L5",2.229,0.782
"gene4940","OAS3",5.901,0.782
"gene28617","TRBV4-1",2.079,0.776
"gene4058","LTK",3.588,0.773
"gene51629","SLC25A39",10.231,0.772
"gene3136","HLA-H",6.217,0.771
"gene8115","TCL1A",5.337,0.771
