"position","row_id","entrez_id","symbol","scgpt_symbol","reactome_pathways","baseline_mean","pre_change_sd","change_excess","between_subject_sd"
1,"gene246","246","ALOX15","ALOX15",21,6.857,0.6059,1.556,1.2784
2,"gene212","212","ALAS2","ALAS2",3,9.162,0.6316,1.499,1.0745
3,"gene1374","1374","CPT1A","CPT1A",10,6.093,0.5926,1.4893,0.3981
4,"gene2289","2289","FKBP5","FKBP5",15,7.891,0.5752,1.4711,0.3685
5,"gene3512","3512","JCHAIN","JCHAIN",5,5.264,0.5939,1.3789,0.7881
6,"gene54541","54541","DDIT4","DDIT4",5,7.715,0.5156,1.375,0.3864
7,"gene5187","5187","PER1","PER1",7,7.332,0.5007,1.3658,0.2837
8,"gene3848","3848","KRT1","KRT1",9,5.045,0.5964,1.3442,1.1539
9,"gene6521","6521","SLC4A1","SLC4A1",11,9.229,0.5417,1.3409,0.9496
10,"gene6535","6535","SLC6A8","SLC6A8",3,6.069,0.4791,1.2746,0.8408
11,"gene27181","27181","SIGLEC8","SIGLEC8",3,4.591,0.6003,1.2598,0.9183
12,"gene6622","6622","SNCA","SNCA",7,8.064,0.4669,1.2531,0.8085
13,"gene55437","55437","STRADB","STRADB",3,7.239,0.4456,1.2485,0.8518
14,"gene759","759","CA1","CA1",12,4.864,0.5529,1.2345,1.0695
15,"gene6710","6710","SPTB","SPTB",24,6.136,0.4558,1.2306,0.845
16,"gene343171","343171","OR2W3","OR2W3",5,5.186,0.4989,1.1912,1.1772
17,"gene4940","4940","OAS3","OAS3",7,5.901,0.4455,1.1839,0.7817
18,"gene5266","5266","PI3","PI3",6,4.922,0.5169,1.1784,0.9169
19,"gene4635","4635","MYL4","MYL4",2,4.876,0.5029,1.1419,0.7622
20,"gene2766","2766","GMPR","GMPR",8,5.755,0.4311,1.134,0.7364
21,"gene286","286","ANK1","ANK1",22,6.534,0.3998,1.1268,0.6655
22,"gene55512","55512","SMPD3","SMPD3",9,6.181,0.409,1.1257,0.623
23,"gene7111","7111","TMOD1","TMOD1",2,4.967,0.4756,1.1035,0.8263
24,"gene1844","1844","DUSP2","DUSP2",6,5.258,0.4453,1.0898,0.5545
25,"gene4057","4057","LTF","LTF",13,5.178,0.4511,1.0892,1.3528
26,"gene10417","10417","SPON2","SPON2",9,7.836,0.3871,1.0791,0.6407
27,"gene249","249","ALPL","ALPL",3,6.527,0.3802,1.0763,0.5476
28,"gene83888","83888","FGFBP2","FGFBP2",6,7.305,0.3734,1.0725,0.72
29,"gene7704","7704","ZBTB16","ZBTB16",7,4.151,0.5492,1.0703,0.4286
