"position","row_id","entrez_id","symbol","group","source"
1,"gene246","246","ALOX15","FM_02","scGPT"
2,"gene212","212","ALAS2","FM_08","scGPT"
3,"gene1374","1374","CPT1A","FM_17","scGPT"
4,"gene2289","2289","FKBP5","FM_07","scGPT"
5,"gene3512","3512","JCHAIN","FM_14","scGPT"
6,"gene54541","54541","DDIT4","FM_07","scGPT"
7,"gene5187","5187","PER1","FM_07","scGPT"
8,"gene3848","3848","KRT1","FM_12","scGPT"
9,"gene6521","6521","SLC4A1","FM_08","scGPT"
10,"gene6535","6535","SLC6A8","FM_02","scGPT"
11,"gene27181","27181","SIGLEC8","FM_13","scGPT"
12,"gene6622","6622","SNCA","FM_08","scGPT"
13,"gene55437","55437","STRADB","FM_08","scGPT"
14,"gene759","759","CA1","FM_08","scGPT"
15,"gene6710","6710","SPTB","FM_03","scGPT"
16,"gene343171","343171","OR2W3","FM_02","scGPT"
17,"gene4940","4940","OAS3","FM_09","scGPT"
18,"gene5266","5266","PI3","FM_12","scGPT"
19,"gene4635","4635","MYL4","FM_08","scGPT"
20,"gene2766","2766","GMPR","FM_08","scGPT"
21,"gene286","286","ANK1","FM_03","scGPT"
22,"gene55512","55512","SMPD3","FM_03","scGPT"
23,"gene7111","7111","TMOD1","FM_03","scGPT"
24,"gene1844","1844","DUSP2","FM_07","scGPT"
25,"gene4057","4057","LTF","FM_12","scGPT"
26,"gene10417","10417","SPON2","FM_04","scGPT"
27,"gene249","249","ALPL","FM_16","scGPT"
28,"gene83888","83888","FGFBP2","FM_04","scGPT"
29,"gene7704","7704","ZBTB16","FM_01","scGPT"
30,"gene3568","3568","IL5RA","FM_12","scGPT"
31,"gene7057","7057","THBS1","FM_07","scGPT"
32,"gene2995","2995","GYPC","FM_08","scGPT"
33,"gene4599","4599","MX1","FM_09","scGPT"
34,"gene4811","4811","NID1","FM_11","scGPT"
35,"gene4318","4318","MMP9","FM_12","scGPT"
36,"gene5166","5166","PDK4","FM_07","scGPT"
37,"gene2039","2039","DMTN","FM_03","scGPT"
38,"gene51218","51218","GLRX5","FM_08","scGPT"
39,"gene8660","8660","IRS2","FM_07","scGPT"
40,"gene598","598","BCL2L1","FM_08","scGPT"
41,"gene2987","2987","GUK1","FM_10","scGPT"
42,"gene11126","11126","CD160","FM_04","scGPT"
43,"gene645","645","BLVRB","FM_08","scGPT"
44,"gene4541","4541","MT-ND6","FM_10","scGPT"
45,"gene3437","3437","IFIT3","FM_09","scGPT"
46,"gene3127","3127","HLA-DRB5","FM_14","scGPT"
47,"gene2537","2537","IFI6","FM_09","scGPT"
48,"gene51348","51348","KLRF1","FM_04","scGPT"
49,"gene3119","3119","HLA-DQB1","FM_14","scGPT"
50,"gene140","140","ADORA3","FM_13","scGPT"
51,"gene4784","4784","NFIX","FM_03","scGPT"
52,"gene2999","2999","GZMH","FM_04","scGPT"
53,"gene11251","11251","PTGDR2","FM_02","scGPT"
54,"gene53637","53637","S1PR5","FM_04","scGPT"
55,"gene4939","4939","OAS2","FM_09","scGPT"
56,"gene1843","1843","DUSP1","FM_07","scGPT"
57,"gene1052","1052","CEBPD","FM_07","scGPT"
58,"gene573","573","BAG1","FM_06","scGPT"
59,"gene81567","81567","TXNDC5","FM_19","scGPT"
60,"gene669","669","BPGM","FM_08","scGPT"
61,"gene788","788","SLC25A20","FM_02","scGPT"
62,"gene115362","115362","GBP5","FM_09","scGPT"
63,"gene5909","5909","RAP1GAP","FM_03","scGPT"
64,"gene3824","3824","KLRD1","FM_04","scGPT"
65,"gene91543","91543","RSAD2","FM_09","scGPT"
66,"gene3434","3434","IFIT1","FM_09","scGPT"
67,"gene4061","4061","LY6E","FM_09","scGPT"
68,"gene7097","7097","TLR2","FM_15","scGPT"
69,"gene83715","83715","ESPN","FM_02","scGPT"
70,"gene9636","9636","ISG15","FM_09","scGPT"
71,"gene2235","2235","FECH","FM_08","scGPT"
72,"gene10316","10316","NMUR1","FM_02","scGPT"
73,"gene2633","2633","GBP1","FM_09","scGPT"
74,"gene1668","1668","DEFA3","FM_12","scGPT"
75,"gene3433","3433","IFIT2","FM_09","scGPT"
76,"gene10644","10644","IGF2BP2","FM_06","scGPT"
77,"gene687","687","KLF9","FM_07","scGPT"
78,"gene3949","3949","LDLR","FM_19","scGPT"
79,"gene3029","3029","HAGH","FM_08","scGPT"
80,"gene11098","11098","PRSS23","FM_11","scGPT"
81,"gene10098","10098","TSPAN5","FM_01","scGPT"
82,"gene54739","54739","XAF1","FM_09","scGPT"
83,"gene3958","3958","LGALS3","FM_11","scGPT"
84,"gene2322","2322","FLT3","FM_15","scGPT"
85,"gene60675","60675","PROK2","FM_16","scGPT"
86,"gene7280","7280","TUBB2A","FM_18","scGPT"
87,"gene117157","117157","SH2D1B","FM_04","scGPT"
88,"gene6772","6772","STAT1","FM_09","scGPT"
89,"gene27087","27087","B3GAT1","FM_03","scGPT"
90,"gene4684","4684","NCAM1","FM_01","scGPT"
91,"gene5551","5551","PRF1","FM_04","scGPT"
92,"gene23770","23770","FKBP8","FM_08","scGPT"
93,"gene6563","6563","SLC14A1","FM_17","scGPT"
94,"gene6170","6170","RPL39","FM_05","scGPT"
95,"gene122618","122618","PLD4","FM_14","scGPT"
96,"gene27090","27090","ST6GALNAC4","FM_08","scGPT"
97,"gene84525","84525","HOPX","FM_04","scGPT"
98,"gene1718","1718","DHCR24","FM_19","scGPT"
99,"gene6351","6351","CCL4","FM_04","scGPT"
100,"gene6189","6189","RPS3A","FM_05","scGPT"
101,"gene4938","4938","OAS1","FM_09","scGPT"
102,"gene25793","25793","FBXO7","FM_08","scGPT"
103,"gene9902","9902","MRC2","FM_11","scGPT"
104,"gene6614","6614","SIGLEC1","FM_13","scGPT"
105,"gene665","665","BNIP3L","FM_08","scGPT"
106,"gene8651","8651","SOCS1","FM_07","scGPT"
107,"gene9415","9415","FADS2","FM_19","scGPT"
108,"gene115361","115361","GBP4","FM_09","scGPT"
109,"gene10964","10964","IFI44L","FM_09","scGPT"
110,"gene9734","9734","HDAC9","FM_01","scGPT"
111,"gene10410","10410","IFITM3","FM_11","scGPT"
112,"gene2935","2935","GSPT1","FM_08","scGPT"
113,"gene10808","10808","HSPH1","FM_18","scGPT"
114,"gene162466","162466","PHOSPHO1","FM_08","scGPT"
115,"gene51094","51094","ADIPOR1","FM_08","scGPT"
116,"gene10561","10561","IFI44","FM_09","scGPT"
117,"gene25941","25941","TPGS2","FM_08","scGPT"
118,"gene1299","1299","COL9A3","FM_11","scGPT"
119,"gene9332","9332","CD163","FM_15","scGPT"
120,"gene7049","7049","TGFBR3","FM_04","scGPT"
121,"gene4603","4603","MYBL1","FM_04","scGPT"
122,"gene30009","30009","TBX21","FM_04","scGPT"
123,"gene51759","51759","C9orf78","FM_08","scGPT"
124,"gene7088","7088","TLE1","FM_03","scGPT"
125,"gene8843","8843","HCAR3","FM_15","scGPT"
126,"gene84164","84164","ASCC2","FM_02","scGPT"
127,"gene255488","255488","RNF144B","FM_15","scGPT"
128,"gene1462","1462","VCAN","FM_12","scGPT"
129,"gene9047","9047","SH2D2A","FM_04","scGPT"
130,"gene10133","10133","OPTN","FM_03","scGPT"
131,"gene997","997","CDC34","FM_02","scGPT"
132,"gene7314","7314","UBB","FM_18","scGPT"
133,"gene5159","5159","PDGFRB","FM_11","scGPT"
134,"gene51191","51191","HERC5","FM_09","scGPT"
135,"gene26053","26053","AUTS2","FM_01","scGPT"
136,"gene11213","11213","IRAK3","FM_15","scGPT"
137,"gene4753","4753","NELL2","FM_01","scGPT"
138,"gene241","241","ALOX5AP","FM_15","scGPT"
139,"gene8818","8818","DPM2","FM_08","scGPT"
140,"gene5730","5730","PTGDS","FM_11","scGPT"
141,"gene4897","4897","NRCAM","FM_01","scGPT"
142,"gene266727","266727","MDGA1","FM_03","scGPT"
143,"gene8644","8644","AKR1C3","FM_11","scGPT"
144,"gene139189","139189","DGKK","FM_02","scGPT"
145,"gene10398","10398","MYL9","FM_11","scGPT"
146,"gene94240","94240","EPSTI1","FM_09","scGPT"
147,"gene8131","8131","NPRL3","FM_03","scGPT"
148,"gene2354","2354","FOSB","FM_07","scGPT"
149,"gene54625","54625","PARP14","FM_09","scGPT"
150,"gene26253","26253","CLEC4E","FM_15","scGPT"
151,"gene166929","166929","SGMS2","FM_07","scGPT"
152,"gene9619","9619","ABCG1","FM_15","scGPT"
153,"gene10409","10409","BASP1","FM_01","scGPT"
154,"gene2623","2623","GATA1","FM_08","scGPT"
155,"gene948","948","CD36","FM_08","scGPT"
156,"gene3597","3597","IL13RA1","FM_14","scGPT"
157,"gene5802","5802","PTPRS","FM_01","scGPT"
158,"gene23569","23569","PADI4","FM_12","scGPT"
159,"gene1831","1831","TSC22D3","FM_07","scGPT"
160,"gene10578","10578","GNLY","FM_04","scGPT"
161,"gene1088","1088","CEACAM8","FM_12","scGPT"
162,"gene7453","7453","WARS1","FM_09","scGPT"
163,"gene3992","3992","FADS1","FM_19","scGPT"
164,"gene6279","6279","S100A8","FM_12","scGPT"
165,"gene6768","6768","ST14","FM_02","scGPT"
166,"gene147700","147700","KLC3","FM_02","scGPT"
167,"gene2867","2867","FFAR2","FM_16","scGPT"
168,"gene9021","9021","SOCS3","FM_07","scGPT"
169,"gene6210","6210","RPS15A","FM_05","scGPT"
170,"gene3674","3674","ITGA2B","FM_20","scGPT"
171,"gene83547","83547","RILP","FM_08","scGPT"
172,"gene729230","729230","CCR2","FM_13","scGPT"
173,"gene5473","5473","PPBP","FM_20","scGPT"
174,"gene3988","3988","LIPA","FM_15","scGPT"
175,"gene7504","7504","XK","FM_08","scGPT"
176,"gene3985","3985","LIMK2","FM_16","scGPT"
177,"gene19","19","ABCA1","FM_17","scGPT"
178,"gene10498","10498","CARM1","FM_03","scGPT"
179,"gene51465","51465","UBE2J1","FM_14","scGPT"
180,"gene2064","2064","ERBB2","FM_02","scGPT"
181,"gene3690","3690","ITGB3","FM_20","scGPT"
182,"gene1066","1066","CES1","FM_15","scGPT"
183,"gene342510","342510","CD300E","FM_13","scGPT"
184,"gene2876","2876","GPX1","FM_10","scGPT"
185,"gene5029","5029","P2RY2","FM_02","scGPT"
186,"gene1236","1236","CCR7","FM_04","scGPT"
187,"gene59269","59269","HIVEP3","FM_01","scGPT"
188,"gene222487","222487","ADGRG3","FM_16","scGPT"
189,"gene5037","5037","PEBP1","FM_18","scGPT"
190,"gene4051","4051","CYP4F3","FM_16","scGPT"
191,"gene23166","23166","STAB1","FM_13","scGPT"
192,"gene3956","3956","LGALS1","FM_11","scGPT"
193,"gene27244","27244","SESN1","FM_01","scGPT"
194,"gene4066","4066","LYL1","FM_08","scGPT"
195,"gene6283","6283","S100A12","FM_12","scGPT"
196,"gene604","604","BCL6","FM_07","scGPT"
197,"gene3553","3553","IL1B","FM_07","scGPT"
198,"gene9148","9148","NEURL1","FM_03","scGPT"
199,"gene1240","1240","CMKLR1","FM_13","scGPT"
