"position","row_id","entrez_id","symbol","group","source"
1,"gene246","246","ALOX15","CUR_03","Reactome (reactome.db 1.95.0)"
2,"gene212","212","ALAS2","CUR_05","Reactome (reactome.db 1.95.0)"
3,"gene1374","1374","CPT1A","CUR_03","Reactome (reactome.db 1.95.0)"
4,"gene2289","2289","FKBP5","CUR_01","Reactome (reactome.db 1.95.0)"
5,"gene3512","3512","JCHAIN","CUR_10","Reactome (reactome.db 1.95.0)"
6,"gene54541","54541","DDIT4","CUR_01","Reactome (reactome.db 1.95.0)"
7,"gene5187","5187","PER1","CUR_03","Reactome (reactome.db 1.95.0)"
8,"gene3848","3848","KRT1","CUR_04","Reactome (reactome.db 1.95.0)"
9,"gene6521","6521","SLC4A1","CUR_09","Reactome (reactome.db 1.95.0)"
10,"gene6535","6535","SLC6A8","CUR_05","Reactome (reactome.db 1.95.0)"
11,"gene27181","27181","SIGLEC8","CUR_15","Reactome (reactome.db 1.95.0)"
12,"gene6622","6622","SNCA","CUR_13","Reactome (reactome.db 1.95.0)"
13,"gene55437","55437","STRADB","CUR_12","Reactome (reactome.db 1.95.0)"
14,"gene759","759","CA1","CUR_07","Reactome (reactome.db 1.95.0)"
15,"gene6710","6710","SPTB","CUR_10","Reactome (reactome.db 1.95.0)"
16,"gene343171","343171","OR2W3","CUR_09","Reactome (reactome.db 1.95.0)"
17,"gene4940","4940","OAS3","CUR_13","Reactome (reactome.db 1.95.0)"
18,"gene5266","5266","PI3","CUR_04","Reactome (reactome.db 1.95.0)"
19,"gene4635","4635","MYL4","CUR_09","Reactome (reactome.db 1.95.0)"
20,"gene2766","2766","GMPR","CUR_05","Reactome (reactome.db 1.95.0)"
21,"gene286","286","ANK1","CUR_10","Reactome (reactome.db 1.95.0)"
22,"gene55512","55512","SMPD3","CUR_03","Reactome (reactome.db 1.95.0)"
23,"gene7111","7111","TMOD1","CUR_09","Reactome (reactome.db 1.95.0)"
24,"gene1844","1844","DUSP2","CUR_07","Reactome (reactome.db 1.95.0)"
25,"gene4057","4057","LTF","CUR_04","Reactome (reactome.db 1.95.0)"
26,"gene10417","10417","SPON2","CUR_08","Reactome (reactome.db 1.95.0)"
27,"gene249","249","ALPL","CUR_08","Reactome (reactome.db 1.95.0)"
28,"gene83888","83888","FGFBP2","CUR_12","Reactome (reactome.db 1.95.0)"
29,"gene7704","7704","ZBTB16","CUR_18","Reactome (reactome.db 1.95.0)"
30,"gene3568","3568","IL5RA","CUR_07","Reactome (reactome.db 1.95.0)"
31,"gene7057","7057","THBS1","CUR_01","Reactome (reactome.db 1.95.0)"
32,"gene2995","2995","GYPC","CUR_10","Reactome (reactome.db 1.95.0)"
33,"gene4599","4599","MX1","CUR_13","Reactome (reactome.db 1.95.0)"
34,"gene4811","4811","NID1","CUR_12","Reactome (reactome.db 1.95.0)"
35,"gene4318","4318","MMP9","CUR_06","Reactome (reactome.db 1.95.0)"
36,"gene5166","5166","PDK4","CUR_03","Reactome (reactome.db 1.95.0)"
37,"gene2039","2039","DMTN","CUR_09","Reactome (reactome.db 1.95.0)"
38,"gene51218","51218","GLRX5","CUR_05","Reactome (reactome.db 1.95.0)"
39,"gene8660","8660","IRS2","CUR_07","Reactome (reactome.db 1.95.0)"
40,"gene598","598","BCL2L1","CUR_06","Reactome (reactome.db 1.95.0)"
41,"gene2987","2987","GUK1","CUR_05","Reactome (reactome.db 1.95.0)"
42,"gene11126","11126","CD160","CUR_15","Reactome (reactome.db 1.95.0)"
43,"gene645","645","BLVRB","CUR_19","Reactome (reactome.db 1.95.0)"
44,"gene4541","4541","MT-ND6","CUR_05","Reactome (reactome.db 1.95.0)"
45,"gene3437","3437","IFIT3","CUR_13","Reactome (reactome.db 1.95.0)"
46,"gene3127","3127","HLA-DRB5","CUR_13","Reactome (reactome.db 1.95.0)"
47,"gene2537","2537","IFI6","CUR_13","Reactome (reactome.db 1.95.0)"
48,"gene51348","51348","KLRF1","CUR_15","Reactome (reactome.db 1.95.0)"
49,"gene3119","3119","HLA-DQB1","CUR_13","Reactome (reactome.db 1.95.0)"
50,"gene140","140","ADORA3","CUR_02","Reactome (reactome.db 1.95.0)"
51,"gene4784","4784","NFIX","CUR_01","Reactome (reactome.db 1.95.0)"
52,"gene2999","2999","GZMH","CUR_08","Reactome (reactome.db 1.95.0)"
53,"gene11251","11251","PTGDR2","CUR_02","Reactome (reactome.db 1.95.0)"
54,"gene53637","53637","S1PR5","CUR_02","Reactome (reactome.db 1.95.0)"
55,"gene4939","4939","OAS2","CUR_06","Reactome (reactome.db 1.95.0)"
56,"gene1843","1843","DUSP1","CUR_07","Reactome (reactome.db 1.95.0)"
57,"gene1052","1052","CEBPD","CUR_06","Reactome (reactome.db 1.95.0)"
58,"gene573","573","BAG1","CUR_19","Reactome (reactome.db 1.95.0)"
59,"gene81567","81567","TXNDC5","CUR_04","Reactome (reactome.db 1.95.0)"
60,"gene669","669","BPGM","CUR_05","Reactome (reactome.db 1.95.0)"
61,"gene788","788","SLC25A20","CUR_03","Reactome (reactome.db 1.95.0)"
62,"gene115362","115362","GBP5","CUR_13","Reactome (reactome.db 1.95.0)"
63,"gene5909","5909","RAP1GAP","CUR_16","Reactome (reactome.db 1.95.0)"
64,"gene3824","3824","KLRD1","CUR_15","Reactome (reactome.db 1.95.0)"
65,"gene91543","91543","RSAD2","CUR_13","Reactome (reactome.db 1.95.0)"
66,"gene3434","3434","IFIT1","CUR_13","Reactome (reactome.db 1.95.0)"
67,"gene4061","4061","LY6E","CUR_08","Reactome (reactome.db 1.95.0)"
68,"gene7097","7097","TLR2","CUR_07","Reactome (reactome.db 1.95.0)"
69,"gene83715","83715","ESPN","CUR_09","Reactome (reactome.db 1.95.0)"
70,"gene9636","9636","ISG15","CUR_06","Reactome (reactome.db 1.95.0)"
71,"gene2235","2235","FECH","CUR_05","Reactome (reactome.db 1.95.0)"
72,"gene10316","10316","NMUR1","CUR_02","Reactome (reactome.db 1.95.0)"
73,"gene2633","2633","GBP1","CUR_06","Reactome (reactome.db 1.95.0)"
74,"gene1668","1668","DEFA3","CUR_04","Reactome (reactome.db 1.95.0)"
75,"gene3433","3433","IFIT2","CUR_13","Reactome (reactome.db 1.95.0)"
76,"gene10644","10644","IGF2BP2","CUR_06","Reactome (reactome.db 1.95.0)"
77,"gene687","687","KLF9","CUR_01","Reactome (reactome.db 1.95.0)"
78,"gene3949","3949","LDLR","CUR_10","Reactome (reactome.db 1.95.0)"
79,"gene3029","3029","HAGH","CUR_05","Reactome (reactome.db 1.95.0)"
80,"gene11098","11098","PRSS23","CUR_08","Reactome (reactome.db 1.95.0)"
81,"gene10098","10098","TSPAN5","CUR_08","Reactome (reactome.db 1.95.0)"
82,"gene54739","54739","XAF1","CUR_13","Reactome (reactome.db 1.95.0)"
83,"gene3958","3958","LGALS3","CUR_01","Reactome (reactome.db 1.95.0)"
84,"gene2322","2322","FLT3","CUR_07","Reactome (reactome.db 1.95.0)"
85,"gene60675","60675","PROK2","CUR_02","Reactome (reactome.db 1.95.0)"
86,"gene7280","7280","TUBB2A","CUR_10","Reactome (reactome.db 1.95.0)"
87,"gene117157","117157","SH2D1B","CUR_15","Reactome (reactome.db 1.95.0)"
88,"gene6772","6772","STAT1","CUR_06","Reactome (reactome.db 1.95.0)"
89,"gene27087","27087","B3GAT1","CUR_05","Reactome (reactome.db 1.95.0)"
90,"gene4684","4684","NCAM1","CUR_07","Reactome (reactome.db 1.95.0)"
91,"gene5551","5551","PRF1","CUR_05","Reactome (reactome.db 1.95.0)"
92,"gene23770","23770","FKBP8","CUR_08","Reactome (reactome.db 1.95.0)"
93,"gene6563","6563","SLC14A1","CUR_09","Reactome (reactome.db 1.95.0)"
94,"gene6170","6170","RPL39","CUR_14","Reactome (reactome.db 1.95.0)"
95,"gene122618","122618","PLD4","CUR_03","Reactome (reactome.db 1.95.0)"
96,"gene27090","27090","ST6GALNAC4","CUR_06","Reactome (reactome.db 1.95.0)"
97,"gene84525","84525","HOPX","CUR_16","Reactome (reactome.db 1.95.0)"
98,"gene1718","1718","DHCR24","CUR_03","Reactome (reactome.db 1.95.0)"
99,"gene6351","6351","CCL4","CUR_02","Reactome (reactome.db 1.95.0)"
100,"gene6189","6189","RPS3A","CUR_17","Reactome (reactome.db 1.95.0)"
101,"gene4938","4938","OAS1","CUR_13","Reactome (reactome.db 1.95.0)"
102,"gene25793","25793","FBXO7","CUR_18","Reactome (reactome.db 1.95.0)"
103,"gene9902","9902","MRC2","CUR_18","Reactome (reactome.db 1.95.0)"
104,"gene6614","6614","SIGLEC1","CUR_15","Reactome (reactome.db 1.95.0)"
105,"gene665","665","BNIP3L","CUR_01","Reactome (reactome.db 1.95.0)"
106,"gene8651","8651","SOCS1","CUR_07","Reactome (reactome.db 1.95.0)"
107,"gene9415","9415","FADS2","CUR_03","Reactome (reactome.db 1.95.0)"
108,"gene115361","115361","GBP4","CUR_06","Reactome (reactome.db 1.95.0)"
109,"gene10964","10964","IFI44L","CUR_13","Reactome (reactome.db 1.95.0)"
110,"gene9734","9734","HDAC9","CUR_01","Reactome (reactome.db 1.95.0)"
111,"gene10410","10410","IFITM3","CUR_13","Reactome (reactome.db 1.95.0)"
112,"gene2935","2935","GSPT1","CUR_14","Reactome (reactome.db 1.95.0)"
113,"gene10808","10808","HSPH1","CUR_19","Reactome (reactome.db 1.95.0)"
114,"gene162466","162466","PHOSPHO1","CUR_03","Reactome (reactome.db 1.95.0)"
115,"gene51094","51094","ADIPOR1","CUR_05","Reactome (reactome.db 1.95.0)"
116,"gene10561","10561","IFI44","CUR_13","Reactome (reactome.db 1.95.0)"
117,"gene25941","25941","TPGS2","CUR_08","Reactome (reactome.db 1.95.0)"
118,"gene1299","1299","COL9A3","CUR_12","Reactome (reactome.db 1.95.0)"
119,"gene9332","9332","CD163","CUR_10","Reactome (reactome.db 1.95.0)"
120,"gene7049","7049","TGFBR3","CUR_12","Reactome (reactome.db 1.95.0)"
121,"gene4603","4603","MYBL1","CUR_01","Reactome (reactome.db 1.95.0)"
122,"gene30009","30009","TBX21","CUR_16","Reactome (reactome.db 1.95.0)"
123,"gene51759","51759","C9orf78","CUR_06","Reactome (reactome.db 1.95.0)"
124,"gene7088","7088","TLE1","CUR_12","Reactome (reactome.db 1.95.0)"
125,"gene8843","8843","HCAR3","CUR_02","Reactome (reactome.db 1.95.0)"
