"family","replicate","seed","position","row_id","symbol","group"
"fm",1,1021,1,"gene246","ALOX15","FM_03"
"fm",1,1021,2,"gene212","ALAS2","FM_15"
"fm",1,1021,3,"gene1374","CPT1A","FM_12"
"fm",1,1021,4,"gene2289","FKBP5","FM_12"
"fm",1,1021,5,"gene3512","JCHAIN","FM_04"
"fm",1,1021,6,"gene54541","DDIT4","FM_12"
"fm",1,1021,7,"gene5187","PER1","FM_17"
"fm",1,1021,8,"gene3848","KRT1","FM_05"
"fm",1,1021,9,"gene6521","SLC4A1","FM_08"
"fm",1,1021,10,"gene6535","SLC6A8","FM_04"
"fm",1,1021,11,"gene27181","SIGLEC8","FM_05"
"fm",1,1021,12,"gene6622","SNCA","FM_12"
"fm",1,1021,13,"gene55437","STRADB","FM_08"
"fm",1,1021,14,"gene759","CA1","FM_08"
"fm",1,1021,15,"gene6710","SPTB","FM_15"
"fm",1,1021,16,"gene343171","OR2W3","FM_05"
"fm",1,1021,17,"gene4940","OAS3","FM_04"
"fm",1,1021,18,"gene5266","PI3","FM_01"
"fm",1,1021,19,"gene4635","MYL4","FM_16"
"fm",1,1021,20,"gene2766","GMPR","FM_01"
"fm",1,1021,21,"gene286","ANK1","FM_02"
"fm",1,1021,22,"gene55512","SMPD3","FM_04"
"fm",1,1021,23,"gene7111","TMOD1","FM_04"
"fm",1,1021,24,"gene1844","DUSP2","FM_05"
"fm",1,1021,25,"gene4057","LTF","FM_08"
"fm",1,1021,26,"gene10417","SPON2","FM_10"
"fm",1,1021,27,"gene249","ALPL","FM_03"
"fm",1,1021,28,"gene83888","FGFBP2","FM_02"
"fm",1,1021,29,"gene7704","ZBTB16","FM_01"
"fm",1,1021,30,"gene3568","IL5RA","FM_06"
"fm",1,1021,31,"gene7057","THBS1","FM_03"
"fm",1,1021,32,"gene2995","GYPC","FM_05"
"fm",1,1021,33,"gene4599","MX1","FM_01"
"fm",1,1021,34,"gene4811","NID1","FM_01"
"fm",1,1021,35,"gene4318","MMP9","FM_09"
"fm",1,1021,36,"gene5166","PDK4","FM_10"
"fm",1,1021,37,"gene2039","DMTN","FM_07"
"fm",1,1021,38,"gene51218","GLRX5","FM_11"
"fm",1,1021,39,"gene8660","IRS2","FM_09"
"fm",1,1021,40,"gene598","BCL2L1","FM_06"
"fm",1,1021,41,"gene2987","GUK1","FM_11"
"fm",1,1021,42,"gene11126","CD160","FM_01"
"fm",1,1021,43,"gene645","BLVRB","FM_07"
"fm",1,1021,44,"gene4541","MT-ND6","FM_05"
"fm",1,1021,45,"gene3437","IFIT3","FM_13"
"fm",1,1021,46,"gene3127","HLA-DRB5","FM_10"
"fm",1,1021,47,"gene2537","IFI6","FM_16"
"fm",1,1021,48,"gene51348","KLRF1","FM_03"
"fm",1,1021,49,"gene3119","HLA-DQB1","FM_08"
"fm",1,1021,50,"gene140","ADORA3","FM_15"
"fm",1,1021,51,"gene4784","NFIX","FM_19"
"fm",1,1021,52,"gene2999","GZMH","FM_04"
"fm",1,1021,53,"gene11251","PTGDR2","FM_06"
"fm",1,1021,54,"gene53637","S1PR5","FM_03"
"fm",1,1021,55,"gene4939","OAS2","FM_01"
"fm",1,1021,56,"gene1843","DUSP1","FM_19"
"fm",1,1021,57,"gene1052","CEBPD","FM_15"
"fm",1,1021,58,"gene573","BAG1","FM_06"
"fm",1,1021,59,"gene81567","TXNDC5","FM_03"
"fm",1,1021,60,"gene669","BPGM","FM_16"
"fm",1,1021,61,"gene788","SLC25A20","FM_11"
"fm",1,1021,62,"gene115362","GBP5","FM_10"
"fm",1,1021,63,"gene5909","RAP1GAP","FM_09"
"fm",1,1021,64,"gene3824","KLRD1","FM_13"
"fm",1,1021,65,"gene91543","RSAD2","FM_10"
"fm",1,1021,66,"gene3434","IFIT1","FM_13"
"fm",1,1021,67,"gene4061","LY6E","FM_07"
"fm",1,1021,68,"gene7097","TLR2","FM_05"
"fm",1,1021,69,"gene83715","ESPN","FM_05"
"fm",1,1021,70,"gene9636","ISG15","FM_11"
"fm",1,1021,71,"gene2235","FECH","FM_09"
"fm",1,1021,72,"gene10316","NMUR1","FM_06"
"fm",1,1021,73,"gene2633","GBP1","FM_05"
"fm",1,1021,74,"gene1668","DEFA3","FM_04"
"fm",1,1021,75,"gene3433","IFIT2","FM_17"
"fm",1,1021,76,"gene10644","IGF2BP2","FM_03"
"fm",1,1021,77,"gene687","KLF9","FM_16"
"fm",1,1021,78,"gene3949","LDLR","FM_06"
"fm",1,1021,79,"gene3029","HAGH","FM_03"
"fm",1,1021,80,"gene11098","PRSS23","FM_01"
"fm",1,1021,81,"gene10098","TSPAN5","FM_04"
"fm",1,1021,82,"gene54739","XAF1","FM_10"
"fm",1,1021,83,"gene3958","LGALS3","FM_09"
"fm",1,1021,84,"gene2322","FLT3","FM_01"
"fm",1,1021,85,"gene60675","PROK2","FM_20"
"fm",1,1021,86,"gene7280","TUBB2A","FM_12"
"fm",1,1021,87,"gene117157","SH2D1B","FM_09"
"fm",1,1021,88,"gene6772","STAT1","FM_01"
"fm",1,1021,89,"gene27087","B3GAT1","FM_11"
"fm",1,1021,90,"gene4684","NCAM1","FM_05"
"fm",1,1021,91,"gene5551","PRF1","FM_05"
"fm",1,1021,92,"gene23770","FKBP8","FM_07"
"fm",1,1021,93,"gene6563","SLC14A1","FM_10"
"fm",1,1021,94,"gene6170","RPL39","FM_08"
"fm",1,1021,95,"gene122618","PLD4","FM_11"
"fm",1,1021,96,"gene27090","ST6GALNAC4","FM_01"
"fm",1,1021,97,"gene84525","HOPX","FM_17"
"fm",1,1021,98,"gene1718","DHCR24","FM_09"
"fm",1,1021,99,"gene6351","CCL4","FM_02"
"fm",1,1021,100,"gene6189","RPS3A","FM_05"
"fm",1,1021,101,"gene4938","OAS1","FM_07"
"fm",1,1021,102,"gene25793","FBXO7","FM_02"
"fm",1,1021,103,"gene9902","MRC2","FM_13"
"fm",1,1021,104,"gene6614","SIGLEC1","FM_03"
"fm",1,1021,105,"gene665","BNIP3L","FM_03"
"fm",1,1021,106,"gene8651","SOCS1","FM_04"
"fm",1,1021,107,"gene9415","FADS2","FM_05"
"fm",1,1021,108,"gene115361","GBP4","FM_11"
"fm",1,1021,109,"gene10964","IFI44L","FM_09"
"fm",1,1021,110,"gene9734","HDAC9","FM_05"
"fm",1,1021,111,"gene10410","IFITM3","FM_09"
"fm",1,1021,112,"gene2935","GSPT1","FM_11"
"fm",1,1021,113,"gene10808","HSPH1","FM_10"
"fm",1,1021,114,"gene162466","PHOSPHO1","FM_07"
"fm",1,1021,115,"gene51094","ADIPOR1","FM_15"
"fm",1,1021,116,"gene10561","IFI44","FM_03"
"fm",1,1021,117,"gene25941","TPGS2","FM_15"
"fm",1,1021,118,"gene1299","COL9A3","FM_04"
"fm",1,1021,119,"gene9332","CD163","FM_16"
"fm",1,1021,120,"gene7049","TGFBR3","FM_04"
"fm",1,1021,121,"gene4603","MYBL1","FM_14"
"fm",1,1021,122,"gene30009","TBX21","FM_01"
"fm",1,1021,123,"gene51759","C9orf78","FM_01"
"fm",1,1021,124,"gene7088","TLE1","FM_08"
"fm",1,1021,125,"gene8843","HCAR3","FM_11"
"fm",1,1021,126,"gene84164","ASCC2","FM_05"
"fm",1,1021,127,"gene255488","RNF144B","FM_06"
"fm",1,1021,128,"gene1462","VCAN","FM_07"
"fm",1,1021,129,"gene9047","SH2D2A","FM_04"
"fm",1,1021,130,"gene10133","OPTN","FM_02"
"fm",1,1021,131,"gene997","CDC34","FM_01"
"fm",1,1021,132,"gene7314","UBB","FM_04"
"fm",1,1021,133,"gene5159","PDGFRB","FM_10"
"fm",1,1021,134,"gene51191","HERC5","FM_02"
"fm",1,1021,135,"gene26053","AUTS2","FM_01"
"fm",1,1021,136,"gene11213","IRAK3","FM_03"
"fm",1,1021,137,"gene4753","NELL2","FM_11"
"fm",1,1021,138,"gene241","ALOX5AP","FM_05"
"fm",1,1021,139,"gene8818","DPM2","FM_01"
"fm",1,1021,140,"gene5730","PTGDS","FM_15"
"fm",1,1021,141,"gene4897","NRCAM","FM_09"
"fm",1,1021,142,"gene266727","MDGA1","FM_04"
"fm",1,1021,143,"gene8644","AKR1C3","FM_04"
"fm",1,1021,144,"gene139189","DGKK","FM_20"
"fm",1,1021,145,"gene10398","MYL9","FM_02"
"fm",1,1021,146,"gene94240","EPSTI1","FM_02"
"fm",1,1021,147,"gene8131","NPRL3","FM_09"
"fm",1,1021,148,"gene2354","FOSB","FM_07"
"fm",1,1021,149,"gene54625","PARP14","FM_19"
"fm",1,1021,150,"gene26253","CLEC4E","FM_06"
"fm",1,1021,151,"gene166929","SGMS2","FM_18"
"fm",1,1021,152,"gene9619","ABCG1","FM_03"
"fm",1,1021,153,"gene10409","BASP1","FM_01"
"fm",1,1021,154,"gene2623","GATA1","FM_20"
"fm",1,1021,155,"gene948","CD36","FM_05"
"fm",1,1021,156,"gene3597","IL13RA1","FM_12"
"fm",1,1021,157,"gene5802","PTPRS","FM_07"
"fm",1,1021,158,"gene23569","PADI4","FM_03"
"fm",1,1021,159,"gene1831","TSC22D3","FM_03"
"fm",1,1021,160,"gene10578","GNLY","FM_02"
"fm",1,1021,161,"gene1088","CEACAM8","FM_03"
"fm",1,1021,162,"gene7453","WARS1","FM_02"
"fm",1,1021,163,"gene3992","FADS1","FM_01"
"fm",1,1021,164,"gene6279","S100A8","FM_05"
"fm",1,1021,165,"gene6768","ST14","FM_08"
"fm",1,1021,166,"gene147700","KLC3","FM_05"
"fm",1,1021,167,"gene2867","FFAR2","FM_16"
"fm",1,1021,168,"gene9021","SOCS3","FM_05"
"fm",1,1021,169,"gene6210","RPS15A","FM_12"
"fm",1,1021,170,"gene3674","ITGA2B","FM_18"
"fm",1,1021,171,"gene83547","RILP","FM_06"
"fm",1,1021,172,"gene729230","CCR2","FM_05"
"fm",1,1021,173,"gene5473","PPBP","FM_08"
"fm",1,1021,174,"gene3988","LIPA","FM_07"
"fm",1,1021,175,"gene7504","XK","FM_08"
"fm",1,1021,176,"gene3985","LIMK2","FM_08"
"fm",1,1021,177,"gene19","ABCA1","FM_11"
"fm",1,1021,178,"gene10498","CARM1","FM_02"
"fm",1,1021,179,"gene51465","UBE2J1","FM_11"
"fm",1,1021,180,"gene2064","ERBB2","FM_18"
"fm",1,1021,181,"gene3690","ITGB3","FM_18"
