"item","value"
"GEO accession","GSE194378"
"Retrieval date","2026-09-06"
"Libraries in series matrices","412"
"Technical control libraries","25"
"Biological libraries","387"
"Re-sequenced libraries","11"
"Duplicated subject-visit pairs resolved","24"
"Biological libraries retained","363"
"Subjects","73"
"Distinct RNA-seq days","-7, -6, 0, 1, 7, 26, 27, 28, 29, 30"
"Genes in normalised matrix","17060"
"Genes mapping to a current symbol","16865"
"Subjects with a day 1 visit","72"
"Subjects with a day 7 visit","73"
"Subjects eligible for held-out evaluation","73"
