"replicate","condition","grouping","iterations","runtime_mins","elbo","active_factors","genes_selected"
1,"vanilla","none",128,18.4,-456625.1,3,941
1,"curated","grouped",124,18.5,-456802.7,3,935
1,"fm","grouped",121,17.3,-456755.7,3,931
1,"random_fm_1","grouped",125,18.1,-456842,3,937
1,"random_fm_2","grouped",128,18.8,-456826.5,3,941
1,"random_fm_3","grouped",125,18.4,-456842.1,3,939
1,"random_fm_4","grouped",124,18,-456851,3,937
1,"random_fm_5","grouped",129,18.9,-456824,3,939
1,"random_curated_1","grouped",128,18.7,-456821.4,3,936
1,"random_curated_2","grouped",129,18.8,-456829.2,3,939
1,"random_curated_3","grouped",128,18.7,-456829.7,3,940
1,"random_curated_4","grouped",130,19.5,-456819.2,3,938
1,"random_curated_5","grouped",127,18.5,-456815.9,3,941
