"condition","arm","family","elbo","inclusion_term","beta_term","gamma_entropy","update_lag","prior_total","remainder"
"vanilla","vanilla","vanilla",-456625.061162895,-2565.08164914102,-1042.60617985546,656.634629727602,0.583007107556682,-3607.68782899648,-453674.007963626
"curated","informed","curated",-456802.689292614,-2505.47378112475,-1231.94756184357,620.970339025793,0.321949440016326,-3737.42134296831,-453686.238288671
"fm","informed","fm",-456755.673655358,-2401.50914110781,-1228.55738351567,589.26039022702,0.276042095791006,-3630.06652462347,-453714.867520962
"random_fm_1","random","fm",-456841.979719927,-2566.76879839604,-1238.79026894982,645.223913313779,0.160129480184864,-3805.55906734586,-453681.644565895
"random_fm_2","random","fm",-456826.484144806,-2566.27666526919,-1237.08533471976,645.145497924961,0.190264032992772,-3803.36199998896,-453668.267642742
"random_fm_3","random","fm",-456842.142021628,-2565.92073471456,-1241.89181406517,645.578796108465,0.117875009319484,-3807.81254877973,-453679.908268957
"random_fm_4","random","fm",-456851.034748537,-2569.46589041733,-1242.32859992345,647.999549533764,0.16374472674493,-3811.79449034078,-453687.23980773
"random_fm_5","random","fm",-456824.033882145,-2566.14878909375,-1237.59539002012,646.837620478035,0.158367630702436,-3803.74417911387,-453667.127323509
"random_curated_1","random","curated",-456821.354897472,-2559.59375698246,-1231.60622907029,642.2934035238,0.228737437683598,-3791.19998605276,-453672.448314943
"random_curated_2","random","curated",-456829.227186707,-2569.74591083895,-1241.87618167484,647.039918450636,0.236391056040059,-3811.62209251379,-453664.645012644
"random_curated_3","random","curated",-456829.729065127,-2567.92079769826,-1237.85964959415,646.081721083912,0.137148423418843,-3805.78044729241,-453670.030338919
"random_curated_4","random","curated",-456819.186654697,-2566.63714715061,-1236.18892365857,647.033384642813,0.194677128791255,-3802.82607080918,-453663.393968531
"random_curated_5","random","curated",-456815.90227676,-2550.30573286929,-1238.54337930955,640.583982605925,0.139626622949425,-3788.84911217883,-453667.637147188
