"reference","condition","arm","loading_cor","ppi_cor","mean_abs_ppi_diff","max_abs_ppi_diff","jaccard","genes_flipped","family"
"full_data","vanilla","vanilla",0.84586,0.58271,0.20651,0.95818,0.69763,29,"vanilla"
"full_data","curated","informed",0.84006,0.58456,0.20798,0.98788,0.70059,32,"curated"
"full_data","fm","informed",0.83059,0.58341,0.21007,1,0.69663,35,"fm"
"full_data","random_fm_1","random",0.84025,0.57849,0.20854,0.97361,0.6955,35,"fm"
"full_data","random_fm_2","random",0.84597,0.58291,0.2072,0.97182,0.69762,30,"fm"
"full_data","random_fm_3","random",0.83831,0.57694,0.20831,0.96869,0.70544,30,"fm"
"full_data","random_fm_4","random",0.83444,0.57789,0.20893,0.96525,0.70136,31,"fm"
"full_data","random_fm_5","random",0.84467,0.58101,0.20767,0.96825,0.70135,30,"fm"
"full_data","random_curated_1","random",0.84529,0.58205,0.20801,0.97402,0.69553,35,"curated"
"full_data","random_curated_2","random",0.84353,0.58164,0.20705,0.96434,0.70037,31,"curated"
"full_data","random_curated_3","random",0.84528,0.58312,0.2072,0.97155,0.70052,30,"curated"
"full_data","random_curated_4","random",0.84536,0.58421,0.20647,0.97465,0.7029,33,"curated"
"full_data","random_curated_5","random",0.84953,0.58684,0.20629,1,0.70198,26,"curated"
