"model","factor","summary","covariate","test","statistic","p_value","n"
"fm","factor_3","score","sex","Wilcoxon",-0.478,0.000343,73
"vanilla","factor_3","score","sex","Wilcoxon",-0.471,0.00043,73
"vanilla","factor_2","score","sex","Wilcoxon",-0.412,0.0022,73
"fm","factor_2","score","sex","Wilcoxon",-0.412,0.0022,73
"vanilla","factor_2","score","age","Spearman",0.263,0.0246,73
"fm","factor_2","score","age","Spearman",0.262,0.025,73
"fm","factor_1","amplitude","cohort","Wilcoxon",0.2,0.146,73
"vanilla","factor_1","amplitude","cohort","Wilcoxon",0.192,0.162,73
"vanilla","factor_2","amplitude","age","Spearman",0.104,0.38,73
"fm","factor_2","amplitude","age","Spearman",0.103,0.384,73
"fm","factor_3","amplitude","age","Spearman",-0.103,0.384,73
"vanilla","factor_3","amplitude","age","Spearman",-0.098,0.409,73
"fm","factor_1","score","sex","Wilcoxon",0.111,0.419,73
"vanilla","factor_1","score","sex","Wilcoxon",0.11,0.426,73
"fm","factor_3","score","age","Spearman",0.09,0.449,73
"vanilla","factor_3","score","age","Spearman",0.086,0.47,73
"vanilla","factor_3","score","cohort","Wilcoxon",-0.098,0.477,73
"vanilla","factor_1","amplitude","age","Spearman",-0.083,0.487,73
"fm","factor_3","score","cohort","Wilcoxon",-0.094,0.498,73
"fm","factor_1","score","age","Spearman",0.079,0.508,73
"vanilla","factor_1","score","age","Spearman",0.078,0.513,73
"fm","factor_1","amplitude","age","Spearman",-0.075,0.53,73
"vanilla","factor_1","score","cohort","Wilcoxon",-0.08,0.563,73
"fm","factor_2","score","cohort","Wilcoxon",-0.076,0.585,73
"vanilla","factor_2","score","cohort","Wilcoxon",-0.074,0.593,73
"fm","factor_1","score","cohort","Wilcoxon",-0.074,0.593,73
"vanilla","factor_3","amplitude","sex","Wilcoxon",0.069,0.617,73
"fm","factor_3","amplitude","sex","Wilcoxon",0.065,0.641,73
"vanilla","factor_2","amplitude","cohort","Wilcoxon",-0.052,0.712,73
"fm","factor_2","amplitude","cohort","Wilcoxon",-0.048,0.729,73
"vanilla","factor_2","amplitude","sex","Wilcoxon",-0.047,0.738,73
"fm","factor_2","amplitude","sex","Wilcoxon",-0.045,0.746,73
"fm","factor_3","amplitude","cohort","Wilcoxon",0.035,0.804,73
"vanilla","factor_3","amplitude","cohort","Wilcoxon",0.029,0.839,73
"fm","factor_1","amplitude","sex","Wilcoxon",0.015,0.917,73
"vanilla","factor_1","amplitude","sex","Wilcoxon",0.011,0.943,73
