"group","n_genes","examples"
"FM_01",91,"ZBTB16, TSPAN5, NCAM1, HDAC9, AUTS2, NELL2, NRCAM, BASP1"
"FM_02",81,"ALOX15, SLC6A8, OR2W3, PTGDR2, SLC25A20, ESPN, NMUR1, ASCC2"
"FM_03",73,"SPTB, ANK1, SMPD3, TMOD1, DMTN, NFIX, RAP1GAP, B3GAT1"
"FM_04",68,"SPON2, FGFBP2, CD160, KLRF1, GZMH, S1PR5, KLRD1, SH2D1B"
"FM_05",68,"RPL39, RPS3A, RPS15A, RPL9, RPS5, RPS26, RPS29, RPL35"
"FM_06",66,"BAG1, IGF2BP2, MYC, FBL, GADD45GIP1, FKBP4, SRP9, HELLS"
"FM_07",65,"FKBP5, DDIT4, PER1, DUSP2, THBS1, PDK4, IRS2, DUSP1"
"FM_08",63,"ALAS2, SLC4A1, SNCA, STRADB, CA1, MYL4, GMPR, GYPC"
"FM_09",49,"OAS3, MX1, IFIT3, IFI6, OAS2, GBP5, RSAD2, IFIT1"
"FM_10",45,"GUK1, MT-ND6, GPX1, PFDN5, PRDX6, TOMM7, SNRPD2, MZT2B"
"FM_11",42,"NID1, PRSS23, LGALS3, MRC2, IFITM3, COL9A3, PDGFRB, PTGDS"
"FM_12",41,"KRT1, PI3, LTF, IL5RA, MMP9, DEFA3, VCAN, PADI4"
"FM_13",40,"SIGLEC8, ADORA3, SIGLEC1, CCR2, CD300E, STAB1, CMKLR1, CHST2"
"FM_14",39,"JCHAIN, HLA-DRB5, HLA-DQB1, PLD4, IL13RA1, UBE2J1, CD79A, HLA-DQA1"
"FM_15",39,"TLR2, FLT3, CD163, HCAR3, RNF144B, IRAK3, ALOX5AP, CLEC4E"
"FM_16",33,"ALPL, PROK2, FFAR2, LIMK2, ADGRG3, CYP4F3, MGAM, MME"
"FM_17",32,"CPT1A, SLC14A1, ABCA1, LGR6, TCF7L2, COL5A3, TRPM6, ARHGAP31"
"FM_18",25,"TUBB2A, HSPH1, UBB, PEBP1, HSPB1, CLU, HSP90AB1, TUBA1A"
"FM_19",24,"TXNDC5, LDLR, DHCR24, FADS2, FADS1, SCD, AK1, CYP51A1"
"FM_20",16,"ITGA2B, PPBP, ITGB3, PF4, RGS18, GNG11, GP1BB, TUBB1"
