"group","n_genes","examples"
"CUR_01",100,"FKBP5, DDIT4, THBS1, NFIX, KLF9, LGALS3, BNIP3L, HDAC9"
"CUR_02",80,"ADORA3, PTGDR2, S1PR5, NMUR1, PROK2, CCL4, HCAR3, DGKK"
"CUR_03",77,"ALOX15, CPT1A, PER1, SMPD3, PDK4, SLC25A20, PLD4, DHCR24"
"CUR_04",74,"KRT1, PI3, LTF, TXNDC5, DEFA3, CLEC4E, GNLY, CEACAM8"
"CUR_05",73,"ALAS2, SLC6A8, GMPR, GLRX5, GUK1, MT-ND6, BPGM, FECH"
"CUR_06",65,"MMP9, BCL2L1, OAS2, CEBPD, ISG15, GBP1, IGF2BP2, STAT1"
"CUR_07",53,"CA1, DUSP2, IL5RA, IRS2, DUSP1, TLR2, FLT3, NCAM1"
"CUR_08",52,"SPON2, ALPL, GZMH, LY6E, PRSS23, TSPAN5, FKBP8, TPGS2"
"CUR_09",49,"SLC4A1, OR2W3, MYL4, TMOD1, DMTN, ESPN, SLC14A1, TSC22D3"
"CUR_10",48,"JCHAIN, SPTB, ANK1, GYPC, LDLR, TUBB2A, CD163, KLC3"
"CUR_11",47,"MYL9, EPSTI1, BASP1, LIMK2, CDC42EP3, EMC3, CDC42EP2, PLXND1"
"CUR_12",45,"STRADB, FGFBP2, NID1, COL9A3, TGFBR3, TLE1, SH2D2A, FOSB"
"CUR_13",44,"SNCA, OAS3, MX1, IFIT3, HLA-DRB5, IFI6, HLA-DQB1, GBP5"
"CUR_14",39,"RPL39, GSPT1, RPL9, RPL35, RPL34, RPL36, RPL41, RPL24"
"CUR_15",37,"SIGLEC8, CD160, KLRF1, KLRD1, SH2D1B, SIGLEC1, RILP, CD300E"
"CUR_16",36,"RAP1GAP, HOPX, TBX21, NELL2, NRCAM, ST14, DPYSL2, CEBPE"
"CUR_17",36,"RPS3A, UBB, RPS15A, RPS5, RPS26, RPS29, RPS18, RPS28"
"CUR_18",25,"ZBTB16, FBXO7, MRC2, RNF144B, CDC34, SOCS3, UBE2J1, MKRN1"
"CUR_19",17,"BLVRB, BAG1, HSPH1, NPRL3, ERN1, MYDGF, BAG3, SRPRB"
"CUR_unassigned",3,"PADI4, SETD7, ARID5B"
